iter	Passed	Remaining
526	866	777
527	867	775
528	867	772
529	868	770
530	869	767
531	870	765
532	870	762
533	871	760
534	872	758
535	873	756
536	874	754
537	876	752
538	877	750
539	878	747
540	878	745
541	879	743
542	880	741
543	881	738
544	882	736
545	883	734
546	884	732
547	885	730
548	885	727
549	886	725
550	887	723
551	888	720
552	889	718
553	891	717
554	891	715
555	892	712
556	893	710
557	894	708
558	895	706
559	895	703
560	896	701
561	897	699
562	898	697
563	900	696
564	901	694
565	902	691
566	903	689
567	906	689
568	907	687
569	908	685
570	909	683
571	910	681
572	910	678
573	911	676
574	912	674
575	913	672
576	913	669
577	914	667
578	915	665
579	916	663
580	917	661
581	918	659
582	919	657
583	920	655
584	921	654
585	922	651
586	923	649
587	924	647
588	926	646
589	927	644
590	928	642
591	929	640
592	929	638
593	930	636
594	932	634
595	932	632
596	935	631
597	936	629
598	937	627
599	938	625
600	939	623
601	939	621
602	940	619
603	941	617
604	942	615
605	943	613
606	943	611
607	944	608
608	945	607
609	946	604
610	946	602
611	947	600
612	950	600
613	951	598
614	952	596
615	953	594
616	954	592
617	955	590
618	956	588
619	957	586
620	958	584
621	959	583
622	960	581
623	961	579
624	962	577
625	965	576
626	966	575
627	967	573
628	968	571
629	969	569
630	970	567
631	971	565
632	971	563
633	972	561
634	973	559
635	974	557
636	974	555
637	975	553
638	976	551
639	977	549
640	979	548
641	980	546
642	981	544
643	982	543
644	983	541
645	984	539
646	985	537
647	986	535
648	986	533
649	988	532
650	989	530
651	990	528
652	991	526
653	991	524
654	992	522
655	994	521
656	995	519
657	996	517
658	996	515
659	997	513
660	998	512
661	999	510
662	999	508
663	1000	506
664	1001	504
665	1001	502
666	1002	500
667	1003	498
668	1004	496
669	1004	494
670	1005	493
671	1006	491
672	1006	489
673	1007	487
674	1009	486
675	1010	484
676	1011	482
677	1011	480
678	1012	478
679	1013	476
680	1013	474
681	1014	473
682	1015	471
683	1016	469
684	1016	467
685	1017	465
686	1018	463
687	1018	462
688	1019	460
689	1020	458
690	1021	456
691	1021	454
692	1023	453
693	1025	451
694	1026	450
695	1026	448
696	1027	446
697	1028	444
698	1028	443
699	1029	441
700	1030	439
701	1031	437
702	1031	435
703	1032	434
704	1033	432
705	1033	430
706	1034	428
707	1035	426
708	1035	425
709	1038	424
710	1039	422
711	1040	420
712	1041	419
713	1042	417
714	1043	416
715	1044	414
716	1045	412
717	1046	410
718	1047	409
719	1047	407
720	1048	405
721	1049	403
722	1049	402
723	1050	400
724	1051	398
725	1053	397
726	1054	396
727	1055	394
728	1056	392
729	1057	390
730	1057	389
731	1058	387
732	1059	385
733	1059	384
734	1060	382
735	1061	380
736	1061	378
737	1062	377
738	1063	375
739	1064	373
740	1065	372
741	1065	370
742	1076	372
743	1077	370
744	1078	369
745	1079	367
746	1080	365
747	1081	364
748	1082	362
749	1084	361
750	1085	359
751	1086	358
752	1086	356
753	1087	354
754	1088	353
755	1089	351
756	1089	349
757	1090	348
758	1091	346
759	1092	344
760	1092	343
761	1093	341
762	1094	339
763	1094	338
764	1095	336
765	1096	334
766	1096	333
767	1099	332
768	1099	330
769	1100	328
770	1101	327
771	1101	325
772	1102	323
773	1103	322
774	1104	320
775	1104	318
776	1105	317
777	1106	315
778	1106	314
779	1107	312
780	1108	310
781	1109	309
782	1109	307
783	1110	305
784	1111	304
785	1113	303
786	1113	301
787	1114	299
788	1115	298
789	1116	296
790	1116	295
791	1117	293
792	1118	291
793	1118	290
794	1119	288
795	1120	287
796	1121	285
797	1121	283
798	1122	282
799	1123	280
800	1123	279
801	1124	277
802	1125	276
803	1126	274
804	1127	273
805	1128	271
806	1129	270
807	1130	268
808	1130	266
809	1131	265
810	1132	263
811	1132	262
812	1133	260
813	1134	259
814	1134	257
815	1135	256
816	1136	254
817	1137	252
818	1137	251
819	1138	249
820	1139	248
821	1140	246
822	1140	245
823	1142	244
824	1143	242
825	1144	240
826	1144	239
827	1145	237
828	1146	236
829	1146	234
830	1147	233
831	1148	231
832	1148	230
833	1149	228
834	1150	227
835	1151	225
836	1151	224
837	1152	222
838	1153	221
839	1153	219
840	1154	218
841	1155	216
842	1157	215
843	1157	214
844	1158	212
845	1159	211
846	1159	209
847	1160	208
848	1161	206
849	1162	205
850	1162	203
851	1163	202
852	1164	200
853	1164	199
854	1165	197
855	1166	196
856	1167	194
857	1168	193
858	1169	191
859	1169	190
860	1171	189
861	1171	187
862	1172	186
863	1173	184
864	1174	183
865	1174	181
866	1175	180
867	1176	178
868	1177	177
869	1177	175
870	1178	174
871	1179	173
872	1180	171
873	1180	170
874	1181	168
875	1182	167
876	1182	165
877	1184	164
878	1185	163
879	1186	161
880	1187	160
881	1187	158
882	1188	157
883	1189	156
884	1189	154
885	1190	153
886	1191	151
887	1192	150
888	1192	148
889	1193	147
890	1194	146
891	1194	144
892	1195	143
893	1196	141
894	1197	140
895	1197	139
896	1199	137
897	1200	136
898	1201	134
899	1201	133
900	1202	132
901	1203	130
902	1203	129
903	1204	127
904	1205	126
905	1206	125
906	1206	123
907	1207	122
908	1208	121
909	1209	119
910	1210	118
911	1211	116
912	1211	115
913	1213	114
914	1214	112
915	1215	111
916	1216	110
917	1216	108
918	1217	107
919	1218	105
920	1218	104
921	1219	103
922	1220	101
923	1221	100
924	1221	99
925	1222	97
926	1223	96
927	1224	94
928	1224	93
929	1225	92
930	1226	90
931	1226	89
932	1228	88
933	1229	86
934	1230	85
935	1230	84
936	1231	82
937	1232	81
938	1233	80
939	1234	78
940	1234	77
941	1235	76
942	1236	74
943	1236	73
944	1237	72
945	1238	70
946	1239	69
947	1239	68
948	1240	66
949	1241	65
950	1242	64
951	1243	62
952	1244	61
953	1245	60
954	1245	58
955	1246	57
956	1247	56
957	1247	54
958	1248	53
959	1249	52
960	1250	50
961	1250	49
962	1251	48
963	1252	46
964	1252	45
965	1253	44
966	1254	42
967	1254	41
968	1255	40
969	1256	38
970	1258	37
971	1259	36
972	1260	34
973	1261	33
974	1262	32
975	1263	31
976	1263	29
977	1264	28
978	1266	27
979	1266	25
980	1267	24
981	1268	23
982	1269	21
983	1270	20
984	1272	19
985	1273	18
986	1274	16
987	1275	15
988	1275	14
989	1276	12
990	1277	11
991	1277	10
992	1278	9
993	1279	7
994	1280	6
995	1280	5
996	1281	3
997	1282	2
998	1282	1
999	1283	0
